Startup,Type,Intro,Fondateurs,Description,Site,Lien Utile,Info
SCINTIL PHOTONICS,"Electronique & Composants - Instrumentation, Capteurs",Une société qui développe des circuits intégrés photoniques en silicium,['Sylvie MENEZO '],"['SCINTIL Photonics est une société sans usine qui développe des circuits intégrés photoniques en silicium.', 'Les solutions SCINTIL combinent le meilleur des matériaux à base de silicium (Si) et de phosphure d’indium (InP) grâce au collage d’InP sur Si à la tranche, et s’appuient sur des procédés de fonderie commerciaux en silicium pour construire des circuits photoniques totalement intégrés (comprenant des lasers à longueurs d’onde multiples, des guides d’ondes, des filtres de longueur d’onde) et photodétecteurs).', '', 'Ajoutée le : 23 septembre 2019']",scintil-photonics.com/,['https://www.linkedin.com/company/scintil-photonics/'],Société par action simplifiées
MATOS BTP,"Immobilier, BTP, Architecture - BTP, Architecture",Application de gestion de l’activité du locatier qui les connecte avec les entreprises de TP,['Frédéric COROLLEUR '],"['Traçabilité\nRemontée automatique et dématérialisée des informations et des documents administratifs liés à la location. (Ordre de mission, bons de location, rapports journalier, passeport conducteur…)', 'Sécurité\nAccédez directement à l’ensemble des documents réglementaires du conducteur et des engins', 'Simplifiez les accueils sécurité et responsabilisez les opérateurs sur le port des EPI', 'Gestion des plannings\nGérez simplement l’organisation de vos locations grâce aux plannings en ligne, partagés et actualisés en temps réel !', '', 'Ajoutée le : 23 septembre 2019']",matosbtp.com,['https://www.linkedin.com/company/matos-tp/'],SA par action simplifiée à associé unique
BARTOC,SSII & NTIC - Big Data,La nouvelle plateforme d'analyse grâce à l'intelligence artificielle,['David  Laleye'],"[""Décryptez des millions d'images partagées sur Instagram.\nGrâce à l' IA segmentez vos audiences, créez du contenu percutant et augmentez votre engagement."", ""Recevez des données organisées et illustrées.\nBartoc vous permet d'extraire les informations contenues sur des millions d'images partagées par les utilisateurs."", ""Segmentez des audiences à partir de leur langage visuel.\nNotre algorithme permet d'identifier des profils types en fonction des éléments apparaisant sur les images.\n\xa0"", '', 'Ajoutée le : 23 septembre 2019']",bartoc.co,['https://www.linkedin.com/company/bartoc'],Ile De France
BYBLOS,Services aux particuliers - Aide à l'achat,Outil simple qui vous permet de trouver facilement les livres qui vous intéressent,['Dara HIZVEREN '],"['Cherchez, trouvez, ajoutez…\nByblos est un outil simple qui vous permet de trouver facilement les livres qui vous intéressent.', 'Une fois trouvés, vous pouvez accéder aux détails, et les ajouter à votre liste pour les consulter plus tard ou les commander.', 'La reconnaissance vocale à votre service\nByblos peut déclencher une recherche en utilisant la puissance de la reconnaissance vocale.', 'Dites à Byblos le titre ou l’auteur du livre que vous cherchez et il vous le trouvera.', 'Des résultats complets en un éclair\nByblos utilise des bases de données qui sont continuellement mises à jour et effectue les recherches ultra rapides pour votre confort d’utilisation.', 'Facile à utiliser\nCommandez chez votre libraire en quelques secondes!', 'Rien de plus simple que de commander les livres qui sont sur votre liste.', 'Sélectionnez les livres et le libraire et c’est tout ! Pas de paiement, pas de livraison : le libraire vous confirme la disponibilité des articles commandés et vous vous rendez chez le libraire pour régler votre commande et chercher vos livres… et qui sait, vous allez peut être en découvrir d’autres une fois sur place…', 'Des idées ? Ecrivez nous…\nNous sommes toujours à l’écoute des amoureux du livre.', 'Vous avez des idées pour améliorer Byblos? Vous rencontrez des problèmes ? Ecrivez-nous et nous ferons tout pour accéder à votre demande le plus rapidement possible.', '', 'Ajoutée le : 23 septembre 2019']",byblosapp.com/,['https://www.linkedin.com/company/zeplin-mobile-solutions/about/'],SA par action simplifiée à associé unique
NEWBIZ CONSULTING,"Services aux entreprises - Marketing, communication",Cabinet de conseil en développement commercial spécialisé dans les métiers de la communication et du marketing,['Pascal CROUZAT '],"['NEWBIZ Consulting est un cabinet de conseil en développement commercial spécialisé dans les métiers de la communication et du marketing,\xa0', ""qui a pour objectif d'accompagner les agences de communication et entreprises du secteur dans l'acquisition de nouveaux business."", ""La vocation de NEWBIZZ Consulting est l'accompagnement du chef d'entreprise, dirigeant de PME et TPE."", 'Le Newbiz au coeur de votre entreprise :Boostez la détection et la mise en œuvre des opportunités de croissance.', ""Détection d'opportunités, transformation en affaires, mise en œuvre de stratégies de croissance, optimisation de votre organisation, \xa0Newbiz Consulting vous accompagne dans le développement de votre entreprise."", '', 'Ajoutée le : 23 septembre 2019']",newbizconsulting.fr,['https://www.linkedin.com/company/newbizconsulting'],Commerçant
GREENPHONE,"Cleantech, Energie - Recyclage",Achetez et vendez vos appareils électroniques usagés pour rendre notre Planète meilleure,['Hadry Gassama'],"[""Vous venez de casser l'écran de votre smartphone. Il est tout fendillé, encore utilisable ou non."", ""Avant de vous rendre chez le réparateur, ou de le jeter ou encore d'en racheter un nouveau, sachez que vous pouvez revendre cet écran cassé à GreenPhone."", 'Conscient des effets néfastes de l’industrie de la téléphonie mobile sur la planète, le recyclage est devenu évident.', 'GreenPhone est né.', 'La mission de GreenPhone est de servir l’humanité et l’environnement, conformément aux convictions de ses deux fondateurs.', 'Nous nous concentrons donc sur le développement durable. Le défi étant d’essayer de transformer les problèmes en solutions. les problèmes environnementaux sont nombreux et la tâche est énorme, mais nous y croyons et faisons tous les efforts possibles pour y arriver.', 'En utilisant les services de GreenPhone vous participez modestement mais surement à la sauvegarde de l’environnement. Pour chaque transaction, nous faisons un don de 1,00 € à une association qui œuvre pour le reboisement en Afrique.', '', 'Ajoutée le : 21 septembre 2019']",green-phone.com/,['https://twitter.com/@Green__Phone'],Société par action simplifiées
POPSI CUBE,"Santé, Biotech, Chimie - Pharmaceutique",Organisme de recherche contractuelle et clinique agile (ORC),['Fabrice BEAUCHENE'],"[""Nous proposons à nos partenaires des secteurs Pharmaceutique, Biotech et Medtech une externalisation complète de leurs essais cliniques en intégrant l'intégralité de la chaîne de création de valeur de l'activité de développement de produits médicaux."", 'Popsi Cube est à l’origine d’une convergence entre un processus clinique solide et des outils informatiques efficaces.', 'Une CRO avec des outils intégrés pour traiter l’ensemble du champ fonctionnel de la recherche clinique.', ""Une gestion de projet réussie nécessite des ressources humaines de qualité supérieure, mais également un ensemble d'outils permettant de prendre des décisions simples, pertinentes et efficaces. Popsi Cube n'a pas trouvé de système sur étagère qui répondrait à ces objectifs. Nous avons donc développé un ensemble d’outils spécifiquement adaptés à nos services."", '', 'Ajoutée le : 20 septembre 2019']",popsicube-fovea.com,['http://fr.linkedin.com/company/popsi-cube'],SARL
LES CEREALES DU GOUT,"Restauration, Cuisine, Alimentation - Biscuits, Sucreries","Des céréales croustillantes bio, aussi saines que gourmandes","['Laury Galarza', 'Antoine Dache']","['Marre des céréales industrielles ultra-transformées et trop sucrées ?', 'Avec Les Céréales du Goût, faites-vous plaisir sans compromis. Idéales pour le petit déjeuner ou les encas de la journée, elles font craquer les enfants comme les plus grands. Fabriquées en France avec des ingrédients issus de l’agriculture biologique, elles sont aussi saines que gourmandes !', '', 'Ajoutée le : 20 septembre 2019']",lescerealesdugout.fr,['https://www.linkedin.com/company/les-cereales-du-gout/'],Artisan (civil)
WAEPASS,"Art, Culture, Loisirs, Sport - Sport",Crée ton Pass multisport à Bordeaux,"['Xavier JAN', 'Florent SANFOURCHE']","['Notre équipe est composée de pratiquants de sports, on peut même parler d’accro aux sports.\nQue ce soit en groupe, avec un ballon, un peu de fonte ou une bonne board, nous sommes sur tous les terrains/spots/salles !!!', 'Comme nous ne sommes pas les seuls à vouloir tout tester, nous avons pensé proposer à chacun de pratiquer n’importe quel sport où il veut et quand il veut, en limitant les conséquences dérangeantes.', 'Voici une liste non exhaustive de ce que tu pourrais faire avec nous :', '', 'Ajoutée le : 20 septembre 2019']",waepass.com,['https://www.linkedin.com/company/your-sports/'],Société par action simplifiées
SATISFIX,Services aux particuliers - Services à domicile,Réparation Électroménager sur Lyon,"['Dorian  Berthier', 'Simon  Besnard']","['Le concept de SATISFIX est né au cours de l’un de ces après-midi pluvieux que l’on passe à refaire le monde devant un café.', 'Il est avant tout l’objet d’une constatation simple : l’urgence de moderniser le secteur de la réparation d’électroménagers et d’y insuffler une dimension économique et écologique.', 'Face à cette problématique, les acolytes décident alors de réunir leurs connaissances, leurs qualités humaines et leurs expériences pour créer une entreprise innovante.', 'Ainsi, SATISFIX allie proximité, fiabilité, réactivité, transparence et professionnalisme en proposant des réparations de petits et gros électroménagers à domicile sur l’ensemble de la région lyonnaise.', 'L’enseigne tend à promouvoir des interventions de haute qualité à des prix clairs et accessibles pour encourager les citoyens à réparer plutôt qu’à surconsommer.', '', 'Ajoutée le : 20 septembre 2019']",satisfix.fr,['https://www.linkedin.com/company/satisfix'],SARL
FOOTBAR,Electronique & Composants - Objets connectés,Objet connecté pour le Football,['Sylvain RACT '],"['Notre premier service est un site internet gratuit : https://footbar.fr/ utilisé par 25 000 licenciés permettant aux joueurs français d’évaluer leurs performances quelque soit leur niveau de jeu et de mesurer leur impact offensif et/ou défensif sur un match.', ""Cependant, notre site ne permettait pas d'évaluer les performances physiques du joueur. Dans le cas du football c’est pourtant essentiel !\xa0"", ""Nous avons développé le Footbar Meteor pour les footballeurs : un tracker d'activité se plaçant derrière le mollet et sous la chaussette du joueur."", ""A l'inverse des bracelets de running, il est compatible avec la pratique du football en compétition et est bien plus précis.\xa0"", ""Il permet d'analyser différentes caractéristiques du joueur comme sa vitesse, ses accélérations, ses déplacements, la distance qu'il a parcouru ..."", 'Nous travaillons actuellement sur une v2 du produit pour offrir aux joueurs encore plus de statistiques comme la puissance de frappe ou encore le rapport du joueur avec le ballon.\xa0', 'Avec Footbar, vous pouvez consulter vos performances et suivre votre évolution mais aussi vous comparer avec des joueurs de championnats différents grâce au site : https://meteor.footbar.com/\xa0', 'Footbar Meteor est le nouveau dénicheur des joueurs talentueux du XXIème siècle.', '', 'Ajoutée le : 20 septembre 2019']",footbar.com/fr/,['https://www.linkedin.com/company/footbar-fr/'],Société par action simplifiées
MY SAAM VISION,Finance - Comptabilité,Logiciel Facturation en ligne,"['Christian HUVER ', 'Serge VITALI ']","['My-Saam Vision est un logiciel de gestion et de facturation en ligne. Simple d’utilisation et abordable, il accompagne les indépendants et les TPE dans l’élaboration des devis, factures et le suivi de la rentabilité.', 'Oubliez vos multiples tableaux Excel. En un coup d’oeil vous avez accès à vos indicateurs clés de performance.\xa0', 'Vous suivez également en temps réel vos indicateurs clés tels que votre chiffre d’affaire, la marge que vous dégagez, les heures facturées et votre résultat prévisionnel. Vous gardez ainsi un œil au quotidien sur vos objectifs à atteindre et ce qui est réalisé à l’instant t.', '', 'Ajoutée le : 20 septembre 2019']",my-saam.com,['https://www.linkedin.com/company/my-saam/'],SARL
SIGNA PUB,"Services aux entreprises - Marketing, communication",Sticker signalétique sur mesure - Pub et décoration,['Alexandre RETAILLEAU'],"[""Stickeramoi\xa0vous\xa0propose des stickers de grande qualité à des prix très abordables.\n\nNotre catalogue s'agrandit chaque mois, mais n'hésitez surtout pas à nous faire part de vos attentes et idées de décoration !"", '', 'Ajoutée le : 20 septembre 2019']",stickeramoi.com/,['https://www.facebook.com/Signa-Pub-TOURS-37-1555516024692384/'],SARL
BEST ITINERARY,"Voyage, Hébergement",Trouvez les meilleurs itinéraires de voyage et simplifiez la préparation de votre voyage,"['Julien PIERRAT', 'Julien  PIERRAT']","['www.best-itinerary.com est une plateforme web (disponible en français et en anglais) répertoriant des centaines d’itinéraires « faits maison » par une équipe de passionnés du voyage.', ""Objectif : regrouper sur une seule et même plateforme toutes les informations nécessaires à l'organisation optimale d’un road-trip."", 'En plus de ce service gratuit, nous proposons un service de ""voyage-de-rêve-sur-mesure"" ultra personnalisé par notre équipe de Travel Planner.', ""Notre équipe accompagne les futurs voyageurs sur la préparation complète de leur trip, de la conception de l'itinéraire à la recherche des meilleurs vols, hébergements, moyens de locomotion, activités... Jusqu'à la fourniture d'un roadbook complet."", ""Le voyageur n'a plus qu'à se laisser porter, valider les propositions et réserver !"", '', 'Ajoutée le : 20 septembre 2019']",best-itinerary.com/,['https://www.linkedin.com/company/14066569/'],Société par action simplifiées
GROOVER,"Art, Culture, Loisirs, Sport - Musique",Fais la Promotion de ta Musique avec Succès,"['Dorian PERRON ', 'Romain PALMIERI']","['Donner le pouvoir auxartistes\xa0de faire découvrir leur musique.', 'Lancé en octobre 2018, Groover met en contact les artistes qui veulent promouvoir leur musique et les meilleurs médias, radios et labels en quête de talents émergents.', 'Une nouvelle plateforme qui garantit surtout aux musiciens d’être écoutés, d’avoir enfin des retours et de gagner en visibilité.', 'Une connexion entre artistes & influenceurs interrompue', 'Plus de 40.000 nouveaux morceaux sortent chaque jour sur Spotify. S’il est devenu beaucoup plus simple de produire et rendre disponible sa musique en ligne, il est d’autant plus compliqué pour un musicien d’émerger de la masse.', 'Pour se faire connaître, les musiciens envoient des centaines de mails à des médias et labels complètement submergés de demandes. Comme une bouteille à la mer, Ils ne reçoivent aujourd’hui aucune réponse.', 'Groover, la solution pour promouvoir sa musique avec succès\nGroover permet de connecter les musiciens ou leurs représentants avec des médias, labels et influenceurs, en leur assurant d’être écoutés, d’obtenir des retours constructifs sur leurs morceaux et gagner en visibilité.', 'Comment ? L’artiste ou son représentant envoie directement un morceau à une sélection de médias, labels, radios de son choix pour 2 Grooviz par contact. Chaque influenceur est rémunéré 1 Grooviz pour l’écouter et écrire un court retour à l’artiste, qu’il décide ou non de partager le morceau.', '', 'Ajoutée le : 20 septembre 2019']",groover.co,['https://www.linkedin.com/company/heygroover'],Société par action simplifiées
MYFORMALITY,"Services aux entreprises - Juridique, Administratif",Conseils et documents juridiques en ligne,['Valérie  Briday'],"['MyFormality est une marketplace permettant à tout entrepreneur d’obtenir un accompagnement personnalisé dans ses démarches administratives juridiques.\xa0', '- Définissez vos critères et besoins directement sur la plateforme grâce à un formulaire\n- MyFormality génère automatiquement les documents nécessaires à vos démarches\n- Recevez un accompagnement personnalisé par des experts connectés en visioconférence\n- Signez vos documents de façon électronique\n\xa0\nVos formalités administratives sont donc réalisées rapidement, 100% en ligne ! \xa0', 'Gagnez du temps. Faites des économies. Profitez de notre expertise.', '', 'Ajoutée le : 19 septembre 2019']",myformality.com/,['https://www.linkedin.com/company/myformality'],Société par action simplifiées
PECHE A LA PRIME,"Finance - Investissement, Trading",L'apport d'affaires ponctuel,['Kevin  ANDRE'],"[""Les avantages pour devenir apporteur d'affaires ponctuel :\nFaites vous rémunérer lorsque vous faites des recommandations."", 'Les avantages pour les entreprises :\nDéveloppez votre business grâce aux apporteurs d’affaires ponctuels\n\xa0', '', 'Ajoutée le : 19 septembre 2019']",palp.fr,['https://www.linkedin.com/company/palp/about'],SARL
JE SORS AVEC BEBE,"Art, Culture, Loisirs, Sport - Sortie",Trouvez une sortie adaptée à votre enfant et vous,['Olivier  CORDIN'],"['Jesorsavecbebe s’adresse aux parents, grands-parents, aux familles et aux amis de parents de bébés de 0 à 4 ans qui souhaitent obtenir des informations concernant l’accès, l‘accueil, les services aux \xa0tous petits dans les établissements qui accueillent le public (hôtels, restaurants, centres commerciaux, \xa0musées et lieux de culture, lieux de loisir et de tourisme) afin de préparer au mieux leurs sorties et de mieux profiter de leurs moments à l’extérieur avec leur(s) enfant(s).', 'Notre credo : Etre parents ne dois pas empêcher de vivre, être bébé ne dois pas empêcher de sortir !', '', 'Ajoutée le : 19 septembre 2019']",jesorsavecbebe.com,['https://www.linkedin.com/company/jesorsavecbebe.com'],81533938700012
JEMANGEFRANCAIS,"Restauration, Cuisine, Alimentation - Services","Epicerie fine en ligne, Coffrets gourmands",['Eric CAÏROU'],"['jemangefrancais.com à travers la sélection de ses produits et de ses partenaires s’est donné pour mission en tant que distributeur de défendre la Gastronomie Française, plus précisément le repas gastronomique français, qui rappelons le est inscrit au patrimoine immatériel de l’UNESCO, .', 'Nous avons un vrai savoir faire reconnu par la planète entière, donc ne nous privons pas de le clamer haut et fort et défendons nos agriculteurs, artisans et PME des métiers de bouche sans qui le repas gastronomique français perdrait de son intérêt...', 'Nous vous proposons donc de retrouver en ligne sur jemangefrancais.com des produits en relation avec :', 'l’épicerie salée\nl’épicerie sucrée\nles boissons\nla charcuterie\nles produits frais\nl’art de la table à la française\nles coffrets gourmands et coffrets cadeaux', 'Vous pouvez commander en ligne toute une gamme de produits que nous livrons partout en France et en Europe sous des délais qui varient de 48 à 72 h', '', 'Ajoutée le : 19 septembre 2019']",jemangefrancais.com,['https://twitter.com/@jemangefrancais'],Société par action simplifiées
PABLO,"Art, Culture, Loisirs, Sport",L'appli des Expos,['Florence GUIONNEAU JOIE '],"['Envie d’expo ?\nPablo est l’appli qu’il vous faut.', 'Découvrez toutes les expos sur Paris et laissez-vous inspirer : achetez directement votre billet sur l’application, et partez vivre une expérience artistique !', 'Comment ? Rien de plus simple :', '· laissez-vous tenter par la sélection de Pablo\n· dénichez toutes les expos des musées, galeries et autres lieux culturels à proximité\n· retrouvez les informations détaillées liées à l’expo (dates et horaires)\n· réservez votre billet rapidement dans l’application', 'Les points forts de Pablo :', '· cherchez des expositions suivant vos préférences artistiques\n· faites confiance au commentaire de Pablo pour faire votre choix\n· réservez votre coupe-file directement sur l’app, au meilleur tarif\n· utilisez votre application de navigation favorite pour vous y rendre (Uber, Google Maps)\n· sauvegardez vos expos favorites\n\xa0', '', 'Ajoutée le : 19 septembre 2019']",pablo-app.com/fr,['https://www.linkedin.com/company/pablo-app/'],SA par action simplifiée à associé unique
TAXYMATCH,Transport & Logistique,Application de partage de taxi ou VTC collectif,['Jean ROUGAGNOU '],"['TaxyMatch permet aux passagers de se retrouver avant la prise en charge par le taxi ou le VTC.', 'Entrez dans notre appli, recherchez ou indiquez votre trajet.', 'Nous vous mettons en contact avec d’autres passagers qui ont un trajet similaire.', 'C’est équivalent à un site de covoiturage mais personne n’a de voiture, seuls des passagères et passagers sont mis en contact.', '', 'Ajoutée le : 19 septembre 2019']",taxymatch.com,['https://www.linkedin.com/in/taxymatch-france-47a804167/'],SA par action simplifiée à associé unique
BOUGE TON KID,"SSII & NTIC - Curation web, Moteur de recherche","Permet aux familles de trouver en instantanée, activités, évènements et sorties",['Lou Dunker'],"['BougeTonKid est ainsi et avant tout une solution pratique, sécurisée et immédiate pour trouver activités et évènements « Famille - Enfants » selon 3 critères :', 'Géoloc - Âge des enfants - Envies et préférences (météo etc…)', 'Mais aussi pour s’organiser des sorties entre familles, toujours selon le même schéma (Géoloc - Âge des enfants - Envies).', 'Ex : un pique-nique entre familles ? Une sortie karting entre papas et enfants de 10-14 ans ? Un running poussette entre mamans ? Un atelier créatif grands-parents et petits-enfants ? etc… c’est ce qu’on veut en réalité !', 'Face à cela, on peut trouver tous professionnels, associations, lieux publics etc… tout ou partie orientés « familles - enfants ».', 'Géolocalisés, ils jouissent tous d’une page propre avec texte, image, coordonnées complètes et horaires d’ouverture.', ""Ils sont répartis selon un tri par catégories que nous avons créé (ex. cours de cuisine), ou de plus grandes rubriques (ex. « Activités d'intérieur ») et sont ainsi accessibles en 3 clics, d’une clientèle de résidence comme de passage (pour leur activité à l’année ou leurs évènements temporaires)."", 'Finies les pannes d’idées de sorties ! Finies les longueurs de temps de recherches ! Finis les week-end ratés en cas d’imprévus !\nDu moins c’est notre objectif… :-)', 'Il faut ainsi dissocier sur BougeTonKid les « activités à l’année » (Activités familiales) = Ex. un club de foot est club de foot à l’année,\n...des « activités ponctuelles » (Évènements & sorties) = Ex. ce même club de foot organise samedi une journée portes ouvertes.', 'Cerise sur le gâteau : les évènements sont visibles dans la partie « agenda » (évènements & sorties), et aussi envoyés chaque semaine dans la newsletter, que les utilisateurs peuvent affiner selon la géoloc (à la maison / en vacances…), et l’âge de leurs enfants.', '', 'Ajoutée le : 19 septembre 2019']",bougetonkid.fr/,['https://www.linkedin.com/company/bougetonkid/'],Association déclarée
MY DUAL PROJECT,"Education, Apprentissage",Permet aux sportifs de poursuivre à la fois une carrière sportive et une formation académique,['Fernanda  Arreola'],"[""Nous traitons l'éducation comme un voyage de toute une vie !"", ""Nous misons sur la passion, la motivation et l'énergie d'un individu pour\xa0fournir des connaissances en affaires et des compétences entrepreneuriales"", '\xa0\xa0- par le biais de cours de niveau master accrédités -', 'qui vous permettent de devenir un entrepreneur de votre propre vie et de réaliser une reconversion de carrière.', '', 'Ajoutée le : 18 septembre 2019']",mydualproject.com,['https://www.linkedin.com/company/my-dual-project/'],Société par action simplifiées
